"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Business Analyst","Jefferson City, MO","2024-03-13","Steneral Consulting","100% On-Site role, must be local or relocate prior to start

Need photo ID, Visa copy and valid LinkedIn

Candidates need to take a video screen with prime vendor prior to end client submittal

Business Analysts with Oracle and Agile Kanban

For this engagement, the analyst will be asked to meet with various staff and support personnel to extract As-is process, parse existing source code from Oracle Forms, Oracle PL/SQL and existing Java source code as well as utilizing published materials to devise detall tasks for development staff.

Those tasks may include web page design, form field to table column mapping and business logic which may be used to automate a process.

Requirement documents are delivered with As-is.

To-Be use cases and Business Process Modeling to demonstrate improvements.

This position is fast paced and are of a critical nature to the application development process.

All application development for this assignment utilize an Agile approach known as KANBAN where features are delivered on time when they have started the cycle.

The business analyst must be able to meet with business subject matter experts, development staff, contractors, executives, or end users to establish requirement specifications. The analyst must have organizational and personal interaction skills with the ability to produce valid and complete requirements. The analyst must be able to organize requirements so as to promote rapid application development and adequate support. The analyst shall be capable of processing complex and detailed requirements by translating and simplifying requirements for a variety of uses. The analyst is required to manage multiple changing requirements and communicate requirement evolutions. The analyst must audit all requirements for pertinent and validity within the scope of each development effort. The analyst will devise test plans in a variety of formats and may be tasked to test and or audit the developed system and/or its supporting document as to whether the deliverable meets the published requirements.","75 applicants","Contract","Associate","Research, Analyst, and Information Technology","Software Development"
"Business Analyst","San Antonio, TX","2024-08-29","The Brixton Group, Inc.","**We are unable to sponsor at this time and CLIENT DOES NOT ALLOW C2C**




Business Analyst - MUST BE LOCAL TO SAN ANTONIO, TX

Rate: $45-55/hr depending on experience

Long Term




Key Responsibilities:

 * Gather details (step-by-step) processes from team members
 * Create detailed process maps
 * Write detailed procedures from process maps
 * Test procedures after writing to ensure accuracy and matching to the process maps




High-level Description: This role involves working closely with team members to analyze processes, create process maps, and write detailed (step-by-step) procedures for ease of understanding and use by people who may fill in for that job or be hired and needs to learn that job. Gathering and updating data and reports and developing/editing presentations. The person should have strong MS-Word, MS-Excel, MS-PowerPoint, and MS-Visio skills, people skills, be detail-oriented, and willing to learn new things.

","Over 200 applicants","Contract","Mid-Senior level","Information Technology","IT Services and IT Consulting"
"Chesterfield County Business Analyst 4","Virginia, United States","2024-08-05","Laksan Technologies","Project manager will be managing the project while the business analyst takes point for process modeling for current-state , coupled with requirements definition to support process roles and end user experience leveraging an online reservation and permitting platforms (1.5 months). Followed by future-state process modeling by partnering with subject matter expert platform implementer to lean and automate current state and define best self-service experience for constituents 1.5 months). 2-3 months to track implementation against requirements, process flows. Shift focus to guide teams in role-based testing plan and execution.


 * Business Analysis Process Engineering
 * Lead multiple departments through current-state process flows and associated role definition as well as role gapsin current state reservation and permitting processes.
 * Lead same departments through future state vision and operations future-state process flows and associated procedural documentation for business operations reflecting utilization with contributions from selected solution implementation subject matter expert.
 * Lead the project sponsors, project customers and project manager through prioritization of the gaps and development of recommendation to address the gaps exposed for business process change, platform automation.
 * Lead business and platform implementer through definition of platform submission flows and communication methods for smooth and well-informed constituent self-service experience and vendor self-service experience.
 * Test Execution
 * Develop the project Test Management Plan utilizing the IST Project Management Office template.
 * Where necessary, work with the business and vendor to refine requirements in areas specificity is required to ensure the resulting requirements are testable.
 * Provide oversight and guidance to business test leads in development of comprehensive, manually executed functionality test scripts for user testing, interface testing and data testing. Responsible for ensuring quality of test scripts that are developed.
   
   

Work with project manager, 3rd party implementer and departments to carry out test plan and test scenario","54 applicants","Full-time","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Baltimore, MD","2024-08-20","Donato Technologies, Inc.","Job Title: Business Analyst

Job Location: Baltimore, MD(Hybrid-2 days/week)

Job Duration: 12+ Months

Note

The selected candidate must reside within two (2) hours of SSA Headquarters in Woodlawn, MD

Description Of Work


 * Solid experience with Risk Management and Continuous Monitoring tools and process concepts. Experience articulating
 * customer requirements into User Stories and establishing acceptance criteria. Experience in managing competing
 * priorities
 * Work with the project manager and business stakeholders/technical leads to analyze and document business
 * requirements for new ServiceNow processes and align to the project schedule.
 * Work with the ServiceNow development team to validate the solutions for defined customer requirements.
 * Provide assistance to other Business Analysts on the project team as required.
 * Develop procedures, manuals, and other documentation artifacts as needed.
 * Develop User Stories based on business requirements provided by the stakeholders/technical leads.
 * Document current and future processes and workflows.
 * Manage the User Acceptance Testing (UAT) and validation activities.
 * Engage customers/stakeholders to effectively and capture business requirements.
 * Develop Agile User Stories based on customer requirements (as required).
 * Ability to host customer CAM/IRM demos and effectively explain ServiceNow capabilities.
 * Ability to analyze alternatives presented by development team members and provide feedback based on customer
 * requirements.
 * Work effectively in a highly matrix team organization.
 * All other duties as assigned or directed.
   
   

Basic Qualifications: Minimum knowledge, skills, and abilities needed.


 * Bachelor's Degree in Computer Science, Mathematics, Engineering, or a related field
 * 5 years of experience as a ServiceNow CAM or IRM Business Analyst
 * 5 years of experience in designing and building business processes
 * 3 years of experience with process flow documentation creation
 * Understanding of Agile software development practices
 * Excellent verbal and written communication skills including presentation skills
 * Solid Business Analyst experience with IT Infrastructure specifically in the area of Risk Management, Continuous
 * Authorization and Monitoring with a good understanding of vulnerability assessments.
 * Knowledge and experience with the overall ServiceNow Ecosystem and ability to understand customer needs and
 * requirements quickly to put together proposed solutions.
 * Strong communication and reporting skills.
 * Team player who stands out as an individual contributor and can mentor other team members to manage and achieve
 * project milestones
 * Must be able to obtain and maintain a US Public Trust clearance
   
   

Preferred Qualifications: Candidates with these skills will be given preferential consideration.


 * Experience with using ServiceNow Integrated Risk Management (IRM) modules and Continuous Authorization and
 * Monitoring (CAM), and other modules.
 * ServiceNow Certification.
 * Previous Government experience
 * In depth understanding of project management approach covering waterfall, agile, and hybrid methodologies.","150 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Senior Business Analyst","United States","2024-04-08","","Please screen your candidates and make sure they have all the requirements below.


 * Must have prior experience with PAL and recent and direct experience with the California government.
   
   

Job Description

The Contractor’s BSAs are required to have expert knowledge of the system development lifecycle (SDLC), requirements elicitation, documents, project management principals, and be disciplined in many areas related to project operations, such as financial management, business analysis, operational readiness, organizational change management, and functional and technical infrastructure support.

Requirements


 * Five (5) years’ experience performing a variety of business analyst functions such as each of the following:
 * Assessment of analysis scope and tasks;
 * Planning business analysis tasks;
 * Elicitation, definitions and documentation of various business, user, and system requirements;
 * Writing functional design specifications;
 * Requirements traceability matrices;
 * Perform analysis for business process improvement, application design and workflow automation;
 * Documenting as-is and to-be processes
 * Modeling and documenting functional designs and process workflows;
 * Developing test scripts;
 * Transition plans and/or implementation requirements;
 * Managing/updating configuration;
 * Implementing best practice solutions;
 * Providing ongoing support as required; and
 * Leading and working within cross-functional teams that include business subject matter experts (SMEs), architects, developers, and testers.
 * Five (5) years’ experience following system development lifecycles (SDLCs) in order to identify, evaluate, and recommend business or technical requirements applied to the design and development of systems and networks.
 * Five (5) years’ experience with working directly with end users in a production support environment.
 * Five (5) years’ facilitating, collaborating, and negotiating with all levels of stakeholders, up to, and including executive-level decision-makers.
 * Three (3) years’ expertise with complex process and systems requirement documentation standards, such as requirement traceability matrixes, as-is and to-be diagrams, Use Case modeling, User Story creations and narrative description.
 * Three (3) years’ experience working independently and as part of a team, meeting deadlines and demonstrating problem-solving skills.
 * Two (2) years’ experience with process analysis; systems analysis; process architectures and systems analysis methodologies; and project management methodologies including both Waterfall and Agile.
 * Bachelor’s degree in computer science, Information Technology, or related field.
 * Strong analytical and problem-solving skills.
 * Strong attention to detail and ability to work independently.
 * Excellent communication and documentation skills.
 * Two (2) years’ experience using SQL or other query tools to perform analysis.
 * Three (3) years’ experience using requirements management industry best practices.
 * Three (3) years’ experience developing training plans and training end users of all levels.
 * Two (2) years’ experience refining solutions for requirements management methodology.
 * Two (2) years’ experience facilitating joint application design (JAD) and/or collaborative design sessions.
 * Two (2) years’ experience mentoring less experienced business analysts to develop their skills.
 * Two (2) years’ experience working with State of California government Environmental Information Technology (IT) offices.
 * Two (2) years’ experience working with PAL processes and documentation.","Over 200 applicants","Contract","Associate","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Business Analyst","Philadelphia, PA","2024-08-28","Top Stack","One of our clients is looking for a Business Analyst to join their team. This is a mostly remote position but they would like someone local to Philadelphia to come on site for meetings, when necessary. This is a contract-to-hire position.




We are not able to provide Visa sponsorship at this time.

We are not able to work C2C. No vendor support is needed at this time.




General Responsibilities:

 * Business Analysis
 * Process Improvement & Process Mapping
 * Gathering Requirements
 * Requirements analysis
 * Gap Analysis
 * Testing







Qualifications

 * Bachelor's degree or equivalent experience
 * 2-3+ years of Business Analyst experience
 * Business Analyst Certification is required (ECBA, PMI-PBA, CCBA, BCS, CBAP, etc)
 * Excellent communication skills
 * Experience working on multiple complex projects

","Over 200 applicants","Full-time","Mid-Senior level","Project Management","Staffing and Recruiting"
"Business Analyst","Norfolk, VA","2024-08-15","CGS Federal (Contact Government Services)","Employment Type: Full-Time, Experienced

Department: Information Technology

CGS is looking for business analysts to work with a large federal agency! As a Business Analyst in Business operations and Content Strategy for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.

CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our mission, we are seeking candidates who are excited to contribute to government innovation, appreciate collaboration, and can anticipate the needs of others. Here at CGS, we offer an environment in which our employees feel supported, and we encourage professional growth through various learning opportunities.

Skills and attributes for success:


 * Support the development of briefings, agendas, and other general documentation support as directed, including training material and demonstration sessions for new and existing technologies to various stakeholders
 * Document and analyze business and functional requirements so that they may be accurately translated into process maps and technical system requirements
 * Develop comprehensive documentation that meets organizational standards, to include but not limited to basic system architectural diagrams/wireframes, concepts of operations, monthly status reports
 * Create high-level briefings and communications materials for customers, management, and executive stakeholders
 * Work with the government and team members to identify, recommend, and implement opportunities for service delivery improvement and new technology implementation
 * Evaluate program materials and develop innovative approaches for improvement
 * Independently gather information from subject matter experts to develop, organize, and write procedure manuals, technical specifications, and process documentation
 * Develop and implement a deep understanding of Microsoft and Atlassian products and services (Teams, SharePoint, Visio, Jira, Confluence) to translate complex product information into simple, polished, and engaging content
 * Research, outline, write, and edit new and existing content, working closely with various team members to understand project requirements
 * Develop content in various media forms for maximum usability, with a consistent and cohesive voice across all documentation
 * Perform risk management, including identifying, prioritizing, and mitigating risks, and communicating and escalating risks and issues
 * Support a continuous improvement process by providing recommendations on improving products, services, and processes
 * Manage client interaction and expectations regarding team efforts
 * Identify and coordinate cross-team dependencies and collaboration
 * Continually seek opportunities to increase customer satisfaction, develop and deepen long-lasting client relationships
   
   
   

Qualifications:


 * Must be a U.S. Citizen
 * Bachelor's Degree (Computer Science, or engineering)
 * Must be able to successfully complete a stringent Background Investigation and obtain required Government Security clearance
 * 7+ years of experience in business analysis, systems analysis, and/or design of information systems programs and related business processes
 * Experience working with phase-based and Agile delivery methods
 * Experience with Jira or other Agile tools
 * Ability to clearly communicate technical concepts to both technical and non-technical users
 * Must be able to work well both in a team environment and independently
 * Must possess exceptional attention to detail
 * Excellent interpersonal and communication skills
 * Familiarity with government projects and policy/procedures teams
 * Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis
 * Experience in managing client requirements and small teams
 * Excellent analytical skills and business presentation skills
   
   
   

Ideally, you will also have:


 * Experience supporting DHS HQ or other US Federal Agencies
 * Experience tracking and reporting project or program delivery progress and budget execution
 * Experience developing project briefs and reports for non-technical audiences
 * Knowledge of the federal acquisition lifecycle
 * Familiarity with Business Intelligence and Data Analytics
 * Project Management, Agile, and/or Cyber Certifications (PMP / ACP / CSM / SAFe / CISM)
   
   
   

Our Commitment:

Contact Government Services (CGS) strives to simplify and enhance government bureaucracy through the optimization of human, technical, and financial resources. We combine cutting-edge technology with world-class personnel to deliver customized solutions that fit our client’s specific needs. We are committed to solving the most challenging and dynamic problems.

For the past seven years, we’ve been growing our government contracting portfolio, and along the way, we’ve created valuable partnerships by demonstrating a commitment to honesty, professionalism, and quality work.

Here at CGS we value honesty through hard work and self-awareness, professionalism in all we do, and to deliver the best quality to our consumers mending those relations for years to come.

We care about our employees. Therefore, we offer a comprehensive benefits package.


 * Health, Dental, and Vision
 * Life Insurance
 * 401k
 * Flexible Spending Account (Health, Dependent Care, and Commuter)
 * Paid Time Off and Observance of State/Federal Holidays
   
   
   

Contact Government Services, LLC is an Equal Opportunity Employer. Applicants will be considered without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Join our team and become part of government innovation!

Explore additional job opportunities with CGS on our Job Board:

https://cgsfederal.com/join-our-team/

For more information about CGS please visit: https://www.cgsfederal.com or contact:

Email: info@cgsfederal.com","Be among the first 25 applicants","Contract","Not Applicable","Research, Analyst, and Information Technology","Government Relations Services"
"Business Analyst","St Paul, MN","2024-08-13","TALENT Software Services","BUSINESS ANALYST

Job Summary: Talent Software Services is in search of a Business Analyst for a contract position in St. Paul/Hybrid, MN. Opportunity will be Six months with a strong chance for a long-term extension.

Primary Responsibilities/Accountabilities:


 * Elicit requirements using interviews, document analysis, requirements workshops, storyboards, surveys, site visits, business process descriptions, use cases, scenarios, event lists, business analysis, competitive product analysis, task and workflow analysis, and/or viewpoints.
 * Write requirements specifications according to standard templates, using natural language simply, clearly, unambiguously, and concisely. Represent requirements using alternative views, such as analysis models (diagrams), prototypes, or scenarios, where appropriate.
 * Plan and facilitate project discovery sessions.
 * Decompose high-level business and user requirements into functional requirements specifying an appropriate level of detail suitable for use by those that must base their work on the requirements.
 * Identify the current- and future-client's business processes; define quality attributes, external interfaces, constraints, and other nonfunctional requirements.
 * Perform requirements analysis and verification, ensuring that requirement statements are complete, consistent, concise, comprehensible, traceable, feasible, unambiguous, and verifiable, and that they conform to standards.
 * Translate business requirements to System/Functional specifications, and pass them on to Application Developers.
 * Coordinate Business Validation to verify that a set of end-to-end business processes function as intended.
 * Participate in peer reviews and inspections of user story maps, epics, user stories, requirements documents, and work products derived from those artifacts to ensure that the requirements were interpreted correctly.
 * Manage requirements traceability information and track requirements status throughout the project.
 * Work with product owners to align with priorities and build product backlog with refined stories for the development team.
 * Create user story maps, write user stories with relevant acceptance criteria, and review/update with the development team at refinement sessions and scrum events as needed.
 * Conduct refinement sessions at various levels for scrum teams in preparation for story pointing and sprint planning.
 * Plan, manage, and track team work items.
   
   

Qualifications:


 * Seven years of experience in an IT Business Analyst role
 * Three years of experience working as an IT Business Analyst on Agile project/product teams
   
   

Preferred:


 * Experience working with Law Enforcement or Criminal Justice Systems
 * Business Analyst Certification (IIBA certification or equivalent)
 * Scrum Master experience
 * Certified Scrum Master
 * Experience working with Product Owners on backlog management, story writing, and story refinement.
 * Experience working with Agile work management tools such as JIRA.
 * Analyzing, defining and documenting requirements for object oriented applications, relational databases, complex queries, interfaces, extraction processes, reports, and dashboards using multi-system data.
 * Leading the design and implementation for multi-faceted, complex, application development projects involving multiple stakeholders and IT functions.
 * Problem-solving skills in problem definition, information gathering and research, alternatives analysis, applying creative solutions to unique and/or immediate problems, and appropriate resolution implementation.
 * Ability to communicate clearly, present complex information to users in a comprehensive style, and translate technical and system information for non-technical stakeholders.
 * Ability to collaborate, work effectively as part of a team and maintain working relationships with all levels of business customers and technology staff.
 * Leadership, mentoring and coaching skills for IT professionals.
 * Experience performing, and advanced knowledge of, Quality Assurance and Project Management activities.
   
   

If this job is a match for your background, we would be honored to receive your application!

Providing consulting opportunities to TALENTed people since 1987, we offer a host of opportunities including contract, contract to hire and permanent placement. Let's talk!","80 applicants","Full-time","Mid-Senior level","Other","IT Services and IT Consulting"
"Business Analyst (Plano, Texas) (REMOTE) (CONTRACT)","United States","2024-09-09","Embakire Staffing Agency","Description

This is a Senior Business Analyst opportunity, in the United States, on the Analytics Enablement Consulting team, at Client for candidates who are authorized to work in the United States without restriction.

The Client Senior Business Analyst on the Analytics Enablement Consulting team is a leader who is responsible for managing and overseeing the intake of AI and GenAI projects, ensuring they align with organizational governance policies and regulatory standards.

This role requires excellent communication skills because it involves close collaboration with cross-functional teams to prioritize projects, communicate with stakeholders, and ensure compliance.

The analyst will also work with business units to develop and complete business cases, providing strong analytical support to justify and evaluate the impact of proposed GenAI initiatives.

The analyst must have experience with AI / GenAI projects.

Key Responsibilities

Stakeholder Communication

Act as the primary liaison between business units, AI/GenAI teams, and governance bodies.

Facilitate communication and understanding of the governance process among stakeholders, ensuring transparency and adherence to guidelines.

Prepare and present detailed reports and recommendations to senior leadership and governance committees.

Analytical Skills

Use strong analytical skills with the ability to interpret complex data and provide actionable insights.

Demonstrate proficiency in data analysis tools and techniques, including experience with AI-driven analytics platforms.

Technical Responsibilities

Demonstrate expertise using AI/ML platforms, data governance tools, and project management software.

Basic Qualifications

5+ years of experience in business analysis

1+ years of experience working In-depth knowledge of AI and GenAI technologies, including their applications, risks, and ethical considerations.

1+ years of experience in managing or supporting AI/ML projects

Bachelor’s degree

Open to travel up to 25%

Preferred Skills

Knowledge of governance practice

Healthcare industry experience

Skills: analytical skills,ml,communication skills,projects,artificial intelligence,machine learning,business analysis","37 applicants","Contract","Mid-Senior level","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Business Analyst","United States","2024-07-10","EA Team Inc","Business analyst with experience in user story, acceptance criteria but also documentation, flow diagrams, processes with experience in content management, product catalogue, ecommerce, digital applications.

Some experience in product management.","Over 200 applicants","Contract","Entry level","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Irving, TX","2024-08-21","Tata Consultancy Services","Skill: Business Analyst


 * Engage and initiate meetings with clients for user research and establish user stories through product discovery process to define product strategy and roadmap.
 * Develop a deep understanding of the clients’ needs, both from a business and data perspective, and translate them into product features as their advocate.
 * Own and deliver the product roadmap from developing wireframes to testing and rolling-out new features.
 * Track the progress of the team’s delivery cycles, prioritize features, and manage backlogs through an agile process.
 * Leverages the Agile JIRA tool as the means to track work and status success, issues, risks, and dependencies.
 * Become a subject matter expert in area to provide a positive product onboarding experience for the clients and resolve any post-rollout issues.
 * Design, implement, and track success metrics for product outcomes.
 * Participating with team scrum events, artifacts and continuously engaged in challenging the old norms of development to improve performance in the areas of quality, predictability, flow, and velocity.
 * Facilitate ad-hoc meetings with other Business owners and Product managers to work together on dependency products and roadmap.
 * Excellent Verbal skills and Communication Skills.
 * Expertise on working directly with customer handling Business Requirements.
   
   ","Over 200 applicants","Full-time","Mid-Senior level","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Philadelphia, PA","2024-09-03","Arrow Search Partners","About The Company

Our client is a national business advisory and consulting firm hiring a Business Analyst who will report to the FP&A Manager. They will provide support for multiple departments at the firm.

Responsibilities


 * Provide analysis to support updating monthly assumptions for YTD projections and reporting
 * Assist with financial and non-financial modeling at all financial statement levels
 * Assist with preparing key schedules and reports to support firm internal and external meetings
 * Monitor and report on monthly and quarterly KPIs
 * Collaborate with accounting team and various departments to ensure data integrity for monthly budget to actual analysis
 * Support IR team on to help build annual investor reports
 * Assist with various month-end close and billing functions as needed
   
   

Requirements


 * Bachelor’s degree in accounting
 * 0-3 years of experience
 * Proficient in Excel
 * Ability to thrive in a fast-paced, high-demand, growth-oriented environment
   
   

Salary Range

$55,000-$70,000

","Over 200 applicants","Full-time","Mid-Senior level","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Business Analyst II","Washington, DC","2024-03-22","Sky Consulting Inc.","No Sposnorship is available now or in the future. Only W2 contract - No 3rd party candidates. HYBRID ROLE : Tuesday and Wednesday onsite. Need only Local candidates

Responsibilities

Prioritizes the product backlog items and coordinates with stakeholders including the Product Owner, the market, executives, and the team to deliver maximum value and quality to the market

Develops an understanding of the geospatial products and user base; Uses this to guide product decisions

Develops epics and user stories for all new functionality, presents user stories to product teams and ensures new functionality meets the acceptance criteria

Partners with stakeholders to help define Minimal Viable Product (MVP) that delivers incremental value; Ensures MVP aligns with product vision and clients strategic goals.

Works with Scrum team, Product Owner, Scrum Master, and others to do release planning

Works with other Product Owners to ensure dependencies are prioritized appropriately across teams

Inspects, accepts, or rejects completed work from the sprint

Communicates work in progress and upcoming work to key stakeholders Requirements

Master s degree, majoring in Computer Science/Information Technology or related field.

3 years+ of successful agile planning and facilitating the complete life cycle of large-scale projects, with competing availability, priorities, and multiple stakeholders.

Experience Defining Requirements And Writing User Stories.

Experience and/or knowledge with widely successful Agile techniques.

Demonstrated exposure in the design, development, and implementation of data tools.

Prior hands-on background in GIS software systems, preferably in a data intensive environment.

Proficient in MS Word, MS Power Point MS Project, MS Excel, Version One, Azure Board, JIRA.

Strong communications skills (both written and oral), strong customer service and excellent interpersonal skills, ability to listen and understand what is being described by the end user as well as the ability to explain problem resolutions when necessary.

Ability to work independently without direct supervision or guidance.","33 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Staffing and Recruiting"
"Senior Business Analyst","Kansas City Metropolitan Area","2024-08-20","Morgan Hunter","Senior Business Analyst (HYBRID)




Job Description

Business Analysts are members of a techno-functional team specialized in implementing and delivering solutions / modules as part of the suite for organizational deliverables. The Business Analysts will also be the Subject Matter Expert on these solutions.




Responsibilities:

 * Will be involved in end to solution implementation life cycle as a Subject Matter Expert (SME) starting from project kick-off and through cutover implementation in Production and transition to customer care.
 * Will develop a thorough understanding of the application’s user interface, both from functional business and technical process standpoint, in order to implement, install solutions and also help in solution adoption and integration into customer’s business processes.
 * Works collaboratively in a team environment with project managers, account managers, implementation and development resources to meet customer expectations regarding solution implementation, issue resolution during solution adoption phase, and also resolution of maintenance issues / service requests.
 * Drive strategic business process improvements within Solutions and Product Delivery organization.
 * Will lead the data gathering & loading process prior to solution implementation phase.
 * Will identify the best practices adopted by customers during the interactions and communicate the same to Management teams to enhance applications and solutions.
 * Evaluate business processes, anticipate requirements & help identify areas for improvement, and help develop and implement appropriate solutions.
 * Excellent written and verbal communications skills, to serve as lead conduit between developers, architects, designers and with external and internal customers.
 * Demonstrates effective teamwork skills.
 * Operates under general direction with minimal oversight.
 * Ensures that approved methods, processes, and tools are consistently used.
 * Shall mentor/train new business analysts on the solution and processes.




Job Requirements:



 * 5+ years’ experience.
 * Bachelor's degree or equivalent technical experience strongly desired.
 * Proven Analytical skills.
 * Good understanding of database concepts and working knowledge of SQL.
 * Advanced knowledge of Microsoft Excel and PowerPoint.
 * Must be organized and be able to multi-task and work in all areas as needed.
 * Prior experience/knowledge on Cloud platforms is an advantage but not required.
 * Proficient English written and oral communication skills.
 * Identify problems and be able to determine when appropriate escalation is required.

","Over 200 applicants","Full-time","Mid-Senior level","Information Technology","Manufacturing"
"Business Process Analyst","Boston, MA","2024-08-16","Digital Prospectors","Position: Business Process Analyst

Location: Boston, MA (Hybrid – 3 days onsite, 30 hours per week)

Length: 6+ months

*W2 Candidates Only




Job Description:

Our client is seeking a Business Process Analyst who will play a key role in identifying needs, recommending solutions, and improving processes through technology. The Business Process Analyst will analyze business processes, conduct requirements gathering, and map workflows. The Business Process Analyst will recommend process improvements and technological solutions to optimize operations.




Essential Duties and Responsibilities (but not limited to):

 * Gather, analyze, and document business, organizational, and operational requirements.
 * Analyze current business processes, workflows, and procedures to identify areas for improvement.
 * Develop and implement optimized processes and procedures to enhance efficiency, productivity, and customer satisfaction.
 * Lead business analysis initiatives and assess the business implications of technology solutions.
 * Understand and document business processes, recommending opportunities for optimization and automation.
 * Collaborate with stakeholders and vendors to translate business needs into system requirements.
 * Develop process optimization plans and support change management.
 * Prepare test plans and assist in user functional testing.




Qualifications:

 * Bachelor’s degree in Computer Science, Information Technology, Business Administration, or a related field, or equivalent work experience.
 * At least 5 years of relevant business process analysis experience in a professional environment.
 * Direct experience with digital technologies and related requirement gathering methods.
 * Familiarity with process mapping and modeling techniques.
 * Proficiency in Microsoft Office suite, including Excel, PowerPoint, and Visio.
 * Strong communication and presentation skills to effectively convey process changes and recommendations to stakeholders at all levels.
 * Self-motivated with the ability to work well across multiple teams in a cross-functional setup.
 * Ability to manage multiple initiatives simultaneously and meet deadlines.
 * 2-4 years of experience with business analysis involving large, complex IT projects and building diverse business relationships is preferred.
 * Experience working with third-party solutions and suppliers is preferred.
 * Familiarity with both agile and waterfall project methodologies is a plus.




POST-OFFER BACKGROUND CHECK IS REQUIRED. Digital Prospectors is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other characteristic protected by law. Digital Prospectors affirms the right of all individuals to equal opportunity and prohibits any form of discrimination or harassment.




Make this your next career move as one of our many long-term contractors or employees!

 * Work as our full-time employee with full benefits (Medical, Dental, Vision, Life, STD, LTD, PTO, etc.) - OR - work as a W2 hourly contractor at a higher pay rate if you don't need the benefit package.




Come see why DPC has achieved:

 * 4.9/5 Star Glassdoor rating and the only staffing company (< 1000 employees) to be voted in the national Top 10 ‘Employee’s Choice - Best Places to Work’ by Glassdoor.
 * Voted ‘Best Staffing Firm to Temp/Contract For’ seven times by Staffing Industry Analysts as well as a ‘Best Company to Work For’ by Forbes, Fortune and Inc. magazine.




As you are applying, please join us in fostering diversity, equity, and inclusion by completing the Invitation to Self-Identify form today!




www.LoveYourJob.com




Job #16929","Over 200 applicants","Contract","Mid-Senior level","Business Development","Higher Education"
